fecha;tipo_registro;depto_municipio;fecha_primer_caso;increm_casos;increm_muertes
19/12/2020;M;19418;30/05/2020;0.0000;0.0000
19/12/2020;M;54172;10/07/2020;0.0137;0.0210
19/12/2020;M;8832;23/05/2020;0.0022;0.0109
19/12/2020;M;15646;01/05/2020;0.0024;0.0170
19/12/2020;M;25772;11/04/2020;0.0486;0.0694
19/12/2020;M;50606;06/05/2020;0.0081;0.0248
19/12/2020;M;52378;15/05/2020;0.0026;0.0216
19/12/2020;M;25402;23/06/2020;0.0230;0.0741
19/12/2020;M;73408;23/06/2020;0.0074;0.0968
19/12/2020;M;70265;13/06/2020;0.0250;0.0256
19/12/2020;M;19364;25/07/2020;0.0000;0.0000
19/12/2020;M;18256;20/07/2020;0.0000;0.0000
19/12/2020;M;20383;18/06/2020;0.0000;0.0124
19/12/2020;M;73124;01/08/2020;0.0393;0.0960
19/12/2020;M;25873;28/03/2020;0.0097;0.0729
19/12/2020;M;52687;04/06/2020;0.0000;0.0323
19/12/2020;M;15299;09/04/2020;0.0139;0.0746
19/12/2020;M;41319;30/07/2020;0.0000;0.0411
19/12/2020;M;76126;24/03/2020;0.0051;0.0209
19/12/2020;M;5642;09/06/2020;0.0217;0.0337
19/12/2020;M;19022;10/11/2020;0.0000;0.1053
19/12/2020;M;85162;18/07/2020;0.0200;0.0695
19/12/2020;M;25151;24/05/2020;0.0066;0.0304
19/12/2020;M;27787;19/05/2020;0.0000;0.0000
